Time (s),CPU Load (%),Temperature (C),Power (W)
1,19.40,88.00,55.72
2,86.10,97.00,148.62
3,87.30,99.00,151.59
4,87.40,99.00,151.79
5,87.70,84.00,141.08
6,87.80,84.00,87.31
7,88.60,81.00,94.79
8,87.30,81.00,94.92
9,87.50,81.00,94.64
10,87.50,80.00,94.73
11,87.40,81.00,95.08
12,87.30,82.00,94.57
13,87.20,82.00,95.13
14,88.20,81.00,94.77
15,87.70,81.00,94.83
16,87.80,81.00,94.90
17,88.10,81.00,94.90
18,87.30,81.00,94.93
19,87.00,82.00,94.83
20,87.80,82.00,94.88
21,87.50,72.00,93.06
22,10.00,72.00,44.25
23,10.10,74.00,42.96
24,10.70,79.00,43.89
25,10.20,79.00,42.08
26,10.20,76.00,43.45
27,9.90,76.00,43.31
28,10.00,73.00,43.86
29,9.40,73.00,44.38
30,10.10,75.00,43.89
31,9.80,75.00,42.69

--- Event Markers ---
Time (s),Event
10,A1
19,A2
