Time (s),CPU Load (%),Temperature (C),Power (W)
1,28.60,80.00,78.43
2,35.90,80.00,92.03
3,40.70,83.00,100.71
4,46.90,91.00,106.91
5,50.30,91.00,98.80
6,55.30,85.00,95.04
7,60.00,82.00,95.03
8,65.10,82.00,94.95
9,69.00,83.00,94.88
10,74.70,76.00,94.25
11,10.10,76.00,43.48
12,9.60,75.00,42.53
13,9.70,74.00,44.25
14,9.40,74.00,44.01
15,9.30,83.00,44.02
16,9.40,83.00,43.45
17,8.80,73.00,39.48
18,9.60,75.00,44.17
19,9.40,73.00,44.75
20,9.80,73.00,45.93
21,10.30,77.00,41.69
22,9.70,77.00,41.87
23,9.90,74.00,45.60
24,9.70,74.00,40.48
25,9.40,74.00,42.62
26,9.10,78.00,41.83
27,9.70,78.00,43.92
28,9.70,80.00,42.23

--- Event Markers ---
Time (s),Event
4,C1
